yourlist:M202107026320BA52A5CE8FCD097CB85A53697A350ADA8BD	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Lrpprc	P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	1394
Rhog	P84095	RHOG_HUMAN	reviewed	Rho-related GTP-binding protein RhoG	RHOG ARHG	Homo sapiens (Human)	191
Aldh1a1	P00352	AL1A1_HUMAN	reviewed	Retinal dehydrogenase 1 (RALDH 1) (RalDH1) (EC 1.2.1.-) (EC 1.2.1.36) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
Aldh2	P05091	ALDH2_HUMAN	reviewed	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	ALDH2 ALDM	Homo sapiens (Human)	517
Rnpep	Q9H4A4	AMPB_HUMAN	reviewed	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP APB	Homo sapiens (Human)	650
Anp32a	P39687	AN32A_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)	ANP32A C15orf1 LANP MAPM PHAP1	Homo sapiens (Human)	249
Ap3b2	Q13367	AP3B2_HUMAN	reviewed	AP-3 complex subunit beta-2 (Adaptor protein complex AP-3 subunit beta-2) (Adaptor-related protein complex 3 subunit beta-2) (Beta-3B-adaptin) (Clathrin assembly protein complex 3 beta-2 large chain) (Neuron-specific vesicle coat protein beta-NAP)	AP3B2	Homo sapiens (Human)	1082
Armcx6	Q7L4S7	ARMX6_HUMAN	reviewed	Protein ARMCX6	ARMCX6	Homo sapiens (Human)	300
Nedd9	Q14511	CASL_HUMAN	reviewed	Enhancer of filamentation 1 (hEF1) (CRK-associated substrate-related protein) (CAS-L) (CasL) (Cas scaffolding protein family member 2) (Neural precursor cell expressed developmentally down-regulated protein 9) (NEDD-9) (Renal carcinoma antigen NY-REN-12) (p105) [Cleaved into: Enhancer of filamentation 1 p55]	NEDD9 CASL CASS2	Homo sapiens (Human)	834
Cirbp	Q14011	CIRBP_HUMAN	reviewed	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	CIRBP A18HNRNP CIRP	Homo sapiens (Human)	172
Clvs1	Q8IUQ0	CLVS1_HUMAN	reviewed	Clavesin-1 (Cellular retinaldehyde-binding protein-like) (Retinaldehyde-binding protein 1-like 1) (clathrin vesicle-associated Sec14 protein 1)	CLVS1 CRALBPL RLBP1L1	Homo sapiens (Human)	354
Cnot1	A5YKK6	CNOT1_HUMAN	reviewed	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376
Gjc3	Q8NFK1	CXG3_HUMAN	reviewed	Gap junction gamma-3 protein (Connexin-30.2) (Cx30.2) (Connexin-31.3) (Cx31.3) (Gap junction epsilon-1 protein)	GJC3 GJE1	Homo sapiens (Human)	279
Hsd11b1	P28845	DHI1_HUMAN	reviewed	Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (Short chain dehydrogenase/reductase family 26C member 1)	HSD11B1 HSD11 HSD11L SDR26C1	Homo sapiens (Human)	292
Enpp6	Q6UWR7	ENPP6_HUMAN	reviewed	Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)	ENPP6 UNQ1889/PRO4334	Homo sapiens (Human)	440
Grpel1	Q9HAV7	GRPE1_HUMAN	reviewed	GrpE protein homolog 1, mitochondrial (HMGE) (Mt-GrpE#1)	GRPEL1 GREPEL1	Homo sapiens (Human)	217
Gstm1	P09488	GSTM1_HUMAN	reviewed	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4)	GSTM1 GST1	Homo sapiens (Human)	218
Hspa8	P11142	HSP7C_HUMAN	reviewed	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	646
Kiaa0513	O60268	K0513_HUMAN	reviewed	Uncharacterized protein KIAA0513	KIAA0513	Homo sapiens (Human)	411
Klc1	Q07866	KLC1_HUMAN	reviewed	Kinesin light chain 1 (KLC 1)	KLC1 KLC KNS2	Homo sapiens (Human)	573
Mpp6	Q99547	MPH6_HUMAN	reviewed	M-phase phosphoprotein 6	MPHOSPH6 MPP6	Homo sapiens (Human)	160
Mpp6	Q9NZW5	PALS2_HUMAN	reviewed	Protein PALS2 (MAGUK p55 subfamily member 6) (Membrane protein, palmitoylated 6) (Veli-associated MAGUK 1) (VAM-1)	PALS2 MPP6 VAM1	Homo sapiens (Human)	540
Naca	E9PAV3	NACAM_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	NACA	Homo sapiens (Human)	2078
Naca	Q13765	NACA_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC) (allergen Hom s 2)	NACA HSD48	Homo sapiens (Human)	215
Omg	P23515	OMGP_HUMAN	reviewed	Oligodendrocyte-myelin glycoprotein	OMG OMGP	Homo sapiens (Human)	440
Cd200	P41217	OX2G_HUMAN	reviewed	OX-2 membrane glycoprotein (CD antigen CD200)	CD200 MOX1 MOX2 My033	Homo sapiens (Human)	278
Pla2g15	Q8NCC3	PAG15_HUMAN	reviewed	Phospholipase A2 group XV (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (EC 3.1.1.5) (Lysophospholipase 3) (Lysosomal phospholipase A and acyltransferase) (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (Lysosomal phospholipase A2) (LPLA2)	PLA2G15 LYPLA3 UNQ341/PRO540	Homo sapiens (Human)	412
Pdia3	P30101	PDIA3_HUMAN	reviewed	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505
Pdia4	P13667	PDIA4_HUMAN	reviewed	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	PDIA4 ERP70 ERP72	Homo sapiens (Human)	645
Pfkl	P17858	PFKAL_HUMAN	reviewed	ATP-dependent 6-phosphofructokinase, liver type (ATP-PFK) (PFK-L) (EC 2.7.1.11) (6-phosphofructokinase type B) (Phosphofructo-1-kinase isozyme B) (PFK-B) (Phosphohexokinase)	PFKL	Homo sapiens (Human)	780
Ppid	Q08752	PPID_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D)	PPID CYP40 CYPD	Homo sapiens (Human)	370
Rbm3	P98179	RBM3_HUMAN	reviewed	RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL)	RBM3 RNPL	Homo sapiens (Human)	157
Rragc	Q9HB90	RRAGC_HUMAN	reviewed	Ras-related GTP-binding protein C (Rag C) (RagC) (EC 3.6.5.-) (GTPase-interacting protein 2) (TIB929)	RRAGC	Homo sapiens (Human)	399
Rtn4	Q9NQC3	RTN4_HUMAN	reviewed	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)	RTN4 KIAA0886 NOGO My043 SP1507	Homo sapiens (Human)	1192
Serpinb6	P35237	SPB6_HUMAN	reviewed	Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)	SERPINB6 PI6 PTI	Homo sapiens (Human)	376
Tcea1	P23193	TCEA1_HUMAN	reviewed	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1 GTF2S TFIIS	Homo sapiens (Human)	301
Txn	P10599	THIO_HUMAN	reviewed	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)	TXN TRDX TRX TRX1	Homo sapiens (Human)	105
Trap1	Q12931	TRAP1_HUMAN	reviewed	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	TRAP1 HSP75	Homo sapiens (Human)	704
Trap1	Q58FF3	ENPLL_HUMAN	reviewed	Putative endoplasmin-like protein (Putative heat shock protein 90 kDa beta member 2)	HSP90B2P GRP94B GRP94P1 TRAP1	Homo sapiens (Human)	399
Cd82	P27701	CD82_HUMAN	reviewed	CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82)	CD82 KAI1 SAR2 ST6 TSPAN27	Homo sapiens (Human)	267
Ctsz	Q9UBR2	CATZ_HUMAN	reviewed	Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)	CTSZ	Homo sapiens (Human)	303
Cntnap1	P78357	CNTP1_HUMAN	reviewed	Contactin-associated protein 1 (Caspr) (Caspr1) (Neurexin IV) (Neurexin-4) (p190)	CNTNAP1 CASPR NRXN4	Homo sapiens (Human)	1384
Col4a1	P02462	CO4A1_HUMAN	reviewed	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	COL4A1	Homo sapiens (Human)	1669
Dgkq	P52824	DGKQ_HUMAN	reviewed	Diacylglycerol kinase theta (DAG kinase theta) (DGKtheta) (EC 2.7.1.107) (Diglyceride kinase theta) (DGK-theta)	DGKQ DAGK4	Homo sapiens (Human)	942
St13	P50502	F10A1_HUMAN	reviewed	Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein)	ST13 AAG2 FAM10A1 HIP SNC6	Homo sapiens (Human)	369
Ggct	O75223	GGCT_HUMAN	reviewed	Gamma-glutamylcyclotransferase (EC 4.3.2.9) (Cytochrome c-releasing factor 21)	GGCT C7orf24 CRF21	Homo sapiens (Human)	188
Gna11	P29992	GNA11_HUMAN	reviewed	Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha)	GNA11 GA11	Homo sapiens (Human)	359
Tecr	Q9NZ01	TECR_HUMAN	reviewed	Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)	TECR GPSN2 SC2	Homo sapiens (Human)	308
Copa	P53621	COPA_HUMAN	reviewed	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]	COPA	Homo sapiens (Human)	1224
Nfu1	Q9UMS0	NFU1_HUMAN	reviewed	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (HIRA-interacting protein 5)	NFU1 HIRIP5 CGI-33	Homo sapiens (Human)	254
Chordc1	Q9UHD1	CHRD1_HUMAN	reviewed	Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1) (CHORD-containing protein 1) (CHP-1) (Protein morgana)	CHORDC1 CHP1	Homo sapiens (Human)	332
Ehbp1	Q8NDI1	EHBP1_HUMAN	reviewed	EH domain-binding protein 1	EHBP1 KIAA0903 NACSIN	Homo sapiens (Human)	1231
Ncam1	P13591	NCAM1_HUMAN	reviewed	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)	NCAM1 NCAM	Homo sapiens (Human)	858
Sh3glb2	Q9NR46	SHLB2_HUMAN	reviewed	Endophilin-B2 (SH3 domain-containing GRB2-like protein B2)	SH3GLB2 KIAA1848 PP578	Homo sapiens (Human)	395
Bcat2	O15382	BCAT2_HUMAN	reviewed	Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT(m)) (EC 2.6.1.42) (Placental protein 18) (PP18)	BCAT2 BCATM BCT2 ECA40	Homo sapiens (Human)	392
Coro1b	Q9BR76	COR1B_HUMAN	reviewed	Coronin-1B (Coronin-2)	CORO1B	Homo sapiens (Human)	489
Ahsa1	O95433	AHSA1_HUMAN	reviewed	Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38)	AHSA1 C14orf3 HSPC322	Homo sapiens (Human)	338
Clptm1	O96005	CLPT1_HUMAN	reviewed	Cleft lip and palate transmembrane protein 1	CLPTM1	Homo sapiens (Human)	669
Mog	Q16653	MOG_HUMAN	reviewed	Myelin-oligodendrocyte glycoprotein	MOG	Homo sapiens (Human)	247
Snx2	O60749	SNX2_HUMAN	reviewed	Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)	SNX2 TRG9	Homo sapiens (Human)	519
Tubg2	Q9NRH3	TBG2_HUMAN	reviewed	Tubulin gamma-2 chain (Gamma-2-tubulin)	TUBG2	Homo sapiens (Human)	451
Prune2	Q8WUY3	PRUN2_HUMAN	reviewed	Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1)	PRUNE2 BMCC1 BNIPXL C9orf65 KIAA0367	Homo sapiens (Human)	3088
Atp1b3	P54709	AT1B3_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	ATP1B3	Homo sapiens (Human)	279
Cntn1	Q12860	CNTN1_HUMAN	reviewed	Contactin-1 (Glycoprotein gp135) (Neural cell surface protein F3)	CNTN1	Homo sapiens (Human)	1018
Metap2	P50579	MAP2_HUMAN	reviewed	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	METAP2 MNPEP P67EIF2	Homo sapiens (Human)	478
Dhodh	Q02127	PYRD_HUMAN	reviewed	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	DHODH	Homo sapiens (Human)	395
Snrpg	P62308	RUXG_HUMAN	reviewed	Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)	SNRPG PBSCG	Homo sapiens (Human)	76
Ap3m2	P53677	AP3M2_HUMAN	reviewed	AP-3 complex subunit mu-2 (Adaptor-related protein complex 3 subunit mu-2) (Clathrin assembly protein assembly protein complex 3 mu-2 medium chain) (Clathrin coat assembly protein AP47 homolog 2) (Clathrin coat-associated protein AP47 homolog 2) (Golgi adaptor AP-1 47 kDa protein homolog 2) (HA1 47 kDa subunit homolog 2) (Mu3B-adaptin) (P47B)	AP3M2	Homo sapiens (Human)	418
Hsph1	Q92598	HS105_HUMAN	reviewed	Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)	HSPH1 HSP105 HSP110 KIAA0201	Homo sapiens (Human)	858
Eif4e	P06730	IF4E_HUMAN	reviewed	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	EIF4E EIF4EL1 EIF4F	Homo sapiens (Human)	217
Mapk8ip3	Q9UPT6	JIP3_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 3 (JIP-3) (JNK-interacting protein 3) (JNK MAP kinase scaffold protein 3) (Mitogen-activated protein kinase 8-interacting protein 3)	MAPK8IP3 JIP3 KIAA1066	Homo sapiens (Human)	1336
Omp	P47874	OMP_HUMAN	reviewed	Olfactory marker protein (Olfactory neuronal-specific protein)	OMP	Homo sapiens (Human)	163
Sirt2	Q8IXJ6	SIR2_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	Homo sapiens (Human)	389
Tpt1	P13693	TCTP_HUMAN	reviewed	Translationally-controlled tumor protein (TCTP) (Fortilin) (Histamine-releasing factor) (HRF) (p23)	TPT1	Homo sapiens (Human)	172
Atcay	Q86WG3	ATCAY_HUMAN	reviewed	Caytaxin (Ataxia cayman type protein) (BNIP-2-homology) (BNIP-H)	ATCAY KIAA1872	Homo sapiens (Human)	371
Col1a2	P08123	CO1A2_HUMAN	reviewed	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	COL1A2	Homo sapiens (Human)	1366
Myo1b	O43795	MYO1B_HUMAN	reviewed	Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa)	MYO1B	Homo sapiens (Human)	1136
Plbd2	Q8NHP8	PLBL2_HUMAN	reviewed	Putative phospholipase B-like 2 (EC 3.1.1.-) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 32 kDa form; Putative phospholipase B-like 2 45 kDa form]	PLBD2	Homo sapiens (Human)	589
Tspan2	O60636	TSN2_HUMAN	reviewed	Tetraspanin-2 (Tspan-2) (Tetraspan NET-3)	TSPAN2	Homo sapiens (Human)	221
A1bg	P04217	A1BG_HUMAN	reviewed	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG	Homo sapiens (Human)	495
Api5	Q9BZZ5	API5_HUMAN	reviewed	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	API5 MIG8	Homo sapiens (Human)	524
Glrx3	O76003	GLRX3_HUMAN	reviewed	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	GLRX3 PICOT TXNL2 HUSSY-22	Homo sapiens (Human)	335
Cyb5r1	Q9UHQ9	NB5R1_HUMAN	reviewed	NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)	CYB5R1 NQO3A2 UNQ3049/PRO9865	Homo sapiens (Human)	305
Nmral1	Q9HBL8	NMRL1_HUMAN	reviewed	NmrA-like family domain-containing protein 1	NMRAL1 HSCARG	Homo sapiens (Human)	299
Rbm14	Q96PK6	RBM14_HUMAN	reviewed	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	RBM14 SIP	Homo sapiens (Human)	669
Tsnax	Q99598	TSNAX_HUMAN	reviewed	Translin-associated protein X (Translin-associated factor X)	TSNAX TRAX	Homo sapiens (Human)	290
Adam22	Q9P0K1	ADA22_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)	ADAM22 MDC2	Homo sapiens (Human)	906
Ina	Q16352	AINX_HUMAN	reviewed	Alpha-internexin (Alpha-Inx) (66 kDa neurofilament protein) (NF-66) (Neurofilament-66) (Neurofilament 5)	INA NEF5	Homo sapiens (Human)	499
Akt2	P31751	AKT2_HUMAN	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481
Aldh3b1	P43353	AL3B1_HUMAN	reviewed	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7)	ALDH3B1 ALDH7	Homo sapiens (Human)	468
Ampd2	Q01433	AMPD2_HUMAN	reviewed	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)	AMPD2	Homo sapiens (Human)	879
Brcc3	P46736	BRCC3_HUMAN	reviewed	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	BRCC3 BRCC36 C6.1A CXorf53	Homo sapiens (Human)	316
Hspd1	P10809	CH60_HUMAN	reviewed	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	Homo sapiens (Human)	573
Cldn11	O75508	CLD11_HUMAN	reviewed	Claudin-11 (Oligodendrocyte-specific protein)	CLDN11 OSP OTM	Homo sapiens (Human)	207
Col1a1	P02452	CO1A1_HUMAN	reviewed	Collagen alpha-1(I) chain (Alpha-1 type I collagen)	COL1A1	Homo sapiens (Human)	1464
Col4a2	P08572	CO4A2_HUMAN	reviewed	Collagen alpha-2(IV) chain [Cleaved into: Canstatin]	COL4A2	Homo sapiens (Human)	1712
Csde1	O75534	CSDE1_HUMAN	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	798
Ddi2	Q5TDH0	DDI2_HUMAN	reviewed	Protein DDI1 homolog 2 (EC 3.4.23.-)	DDI2	Homo sapiens (Human)	399
Dnajb11	Q9UBS4	DJB11_HUMAN	reviewed	DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (DnaJ protein homolog 9) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p) (HEDJ) (Human DnaJ protein 9) (hDj-9) (PWP1-interacting protein 4)	DNAJB11 EDJ ERJ3 HDJ9 PSEC0121 UNQ537/PRO1080	Homo sapiens (Human)	358
